adjustment,cell_class,pathology,other_region,locus_id,anchors,S_DFC,S_other,Delta_S_DFC_minus_other
composition,Immune,CERAD,MEC,AD|FERMT2,1,0.9638797265359564,0.25987679419696,0.7040029323389965
composition,Immune,CERAD,MEC,AD|MS4A6A,1,0.4252415253097212,-0.8405343030455021,1.2657758283552234
composition,Immune,CERAD,MEC,AD|NCK2,1,0.8471451273747185,-0.5365151818689405,1.383660309243659
composition,Immune,CERAD,MEC,AD|PICALM,1,-0.4953084621185405,-0.1832658901367733,-0.3120425719817672
composition,Immune,CERAD,MEC,AD|PLEKHA1,1,0.8015167762725428,0.8582350730861698,-0.056718296813626945
composition,Immune,CERAD,MEC,AD|RASGEF1C,1,0.8853706234880482,0.7827118946831452,0.10265872880490301
composition,Immune,CERAD,MEC,AD|RHOH,1,-0.1258930531191462,0.2114959189948934,-0.3373889721140396
composition,Immune,CERAD,MEC,AD|SCIMP,1,0.6984995740792682,0.8946274047107142,-0.196127830631446
composition,Immune,CERAD,MEC,AD|SIGLEC11,1,0.8004725058924665,-0.3574389099654144,1.157911415857881
composition,Immune,CERAD,MEC,AD|WDR81,1,-0.2991447537833543,0.1109851089654792,-0.4101298627488335
composition,Immune,CERAD,MTG,AD|ABI3,1,0.9125154652898522,0.4477994649285377,0.46471600036131444
composition,Immune,CERAD,MTG,AD|ADAM17,1,0.1951231777815507,-0.5415529380243558,0.7366761158059065
composition,Immune,CERAD,MTG,AD|ANK3,1,-0.7182363808479153,-0.7413330914412223,0.02309671059330698
composition,Immune,CERAD,MTG,AD|BIN1,2,-0.7484459475361542,-0.6254756348711439,-0.12297031266501035
composition,Immune,CERAD,MTG,AD|BLNK,1,-0.1834880385162681,-0.7720260502434442,0.5885380117271761
composition,Immune,CERAD,MTG,AD|CASS4,1,-0.9776871916227632,-0.7915565430999876,-0.1861306485227756
composition,Immune,CERAD,MTG,AD|CD2AP,1,0.9092465537294973,0.3981955015121784,0.5110510522173188
composition,Immune,CERAD,MTG,AD|DOC2A,1,0.9876043734682978,0.996659554983979,-0.009055181515681188
composition,Immune,CERAD,MTG,AD|ECHDC3,1,0.484570679284775,0.445071439181436,0.039499240103338995
composition,Immune,CERAD,MTG,AD|EPDR1,1,0.4428778188996141,-0.4000696739064051,0.8429474928060192
composition,Immune,CERAD,MTG,AD|EPHA1,4,-0.778377349810268,-0.7401733176222624,-0.03820403218800561
composition,Immune,CERAD,MTG,AD|FERMT2,1,0.9638797265359564,0.9487940002804148,0.01508572625554161
composition,Immune,CERAD,MTG,AD|MS4A6A,1,0.4252415253097212,-0.1241661499989617,0.549407675308683
composition,Immune,CERAD,MTG,AD|NCK2,1,0.8471451273747185,0.8774908541725498,-0.03034572679783132
composition,Immune,CERAD,MTG,AD|PICALM,1,-0.4953084621185405,-0.1014238220310666,-0.3938846400874739
composition,Immune,CERAD,MTG,AD|PLEKHA1,1,0.8015167762725428,0.8420544383118357,-0.04053766203929288
composition,Immune,CERAD,MTG,AD|RASGEF1C,1,0.8853706234880482,0.9807679867189688,-0.09539736323092063
composition,Immune,CERAD,MTG,AD|RHOH,1,-0.1258930531191462,0.2094821523794757,-0.3353752054986219
composition,Immune,CERAD,MTG,AD|SCIMP,1,0.6984995740792682,0.7703754861993306,-0.07187591212006239
composition,Immune,CERAD,MTG,AD|SIGLEC11,1,0.8004725058924665,0.3207590003454763,0.47971350554699027
composition,Immune,CERAD,MTG,AD|WDR81,1,-0.2991447537833543,-0.5136260095737225,0.2144812557903682
composition,Immune,Braak,MEC,AD|ABI3,1,0.4679363838619247,0.701264261140648,-0.23332787727872328
composition,Immune,Braak,MEC,AD|ADAM17,1,0.6183899658316948,0.2140256096213816,0.4043643562103132
composition,Immune,Braak,MEC,AD|ANK3,1,-0.641321419156699,-0.3872425550421268,-0.25407886411457226
composition,Immune,Braak,MEC,AD|BIN1,2,-0.9141162992469144,-0.9872461048805123,0.07312980563359794
composition,Immune,Braak,MEC,AD|BLNK,1,-0.7186236113178135,-0.9568642981879286,0.23824068687011513
composition,Immune,Braak,MEC,AD|CASS4,1,-0.5260341052669266,-0.8773558976158107,0.35132179234888405
composition,Immune,Braak,MEC,AD|CD2AP,1,0.8460214062890065,0.9389823624061128,-0.09296095611710631
composition,Immune,Braak,MEC,AD|DOC2A,1,0.946452257306047,0.9907100674196352,-0.0442578101135882
composition,Immune,Braak,MEC,AD|ECHDC3,1,0.2287504152662826,0.3747818021501714,-0.14603138688388878
composition,Immune,Braak,MEC,AD|EPDR1,1,0.6550080381326334,-0.872262389372856,1.5272704275054894
composition,Immune,Braak,MEC,AD|EPHA1,4,-0.8743704834981295,-0.16598853712887748,-0.708381946369252
composition,Immune,Braak,MEC,AD|FERMT2,1,0.8297319031639653,0.374396758338697,0.45533514482526827
composition,Immune,Braak,MEC,AD|MS4A6A,1,0.3475104544936425,-0.6320044825103361,0.9795149370039786
composition,Immune,Braak,MEC,AD|NCK2,1,0.3179454232580261,-0.8763931851599124,1.1943386084179384
composition,Immune,Braak,MEC,AD|PICALM,1,0.1751566240760867,0.3381139620411896,-0.1629573379651029
composition,Immune,Braak,MEC,AD|PLEKHA1,1,-0.3425010806939814,0.824460632280269,-1.1669617129742504
composition,Immune,Braak,MEC,AD|RASGEF1C,1,0.9428475013752344,0.8820574932188655,0.060790008156368924
composition,Immune,Braak,MEC,AD|RHOH,1,0.2240670636256766,0.6464625588293152,-0.4223954952036386
composition,Immune,Braak,MEC,AD|SCIMP,1,0.4449416265161354,0.8998996405894445,-0.4549580140733091
composition,Immune,Braak,MEC,AD|SIGLEC11,1,0.6486059014650201,-0.7883223032203529,1.436928204685373
composition,Immune,Braak,MEC,AD|WDR81,1,-0.8602644985684404,-0.9970305329045922,0.13676603433615175
composition,Immune,Braak,MTG,AD|ABI3,1,0.4679363838619247,-0.3458283529579827,0.8137647368199075
composition,Immune,Braak,MTG,AD|ADAM17,1,0.6183899658316948,0.1812839730896497,0.4371059927420451
composition,Immune,Braak,MTG,AD|ANK3,1,-0.641321419156699,-0.2282141306109701,-0.413107288545729
composition,Immune,Braak,MTG,AD|BIN1,2,-0.9141162992469144,-0.979306200223558,0.06518990097664357
composition,Immune,Braak,MTG,AD|BLNK,1,-0.7186236113178135,-0.9513848570498004,0.23276124573198687
composition,Immune,Braak,MTG,AD|CASS4,1,-0.5260341052669266,-0.094393171371561,-0.4316409338953656
composition,Immune,Braak,MTG,AD|CD2AP,1,0.8460214062890065,-0.6479268744659199,1.4939482807549265
composition,Immune,Braak,MTG,AD|DOC2A,1,0.946452257306047,0.9950584760490422,-0.0486062187429952
composition,Immune,Braak,MTG,AD|ECHDC3,1,0.2287504152662826,0.110115046149041,0.1186353691172416
composition,Immune,Braak,MTG,AD|EPDR1,1,0.6550080381326334,-0.5149616150351707,1.169969653167804
composition,Immune,Braak,MTG,AD|EPHA1,4,-0.8743704834981295,-0.5137202751545629,-0.36065020834356665
composition,Immune,Braak,MTG,AD|FERMT2,1,0.8297319031639653,0.7747832850950098,0.05494861806895546
composition,Immune,Braak,MTG,AD|MS4A6A,1,0.3475104544936425,0.6538080260242125,-0.30629757153057
composition,Immune,Braak,MTG,AD|NCK2,1,0.3179454232580261,0.1411750249675194,0.1767703982905067
composition,Immune,Braak,MTG,AD|PICALM,1,0.1751566240760867,0.6328038413356262,-0.4576472172595395
composition,Immune,Braak,MTG,AD|PLEKHA1,1,-0.3425010806939814,0.5890257135524198,-0.9315267942464012
composition,Immune,Braak,MTG,AD|RASGEF1C,1,0.9428475013752344,0.9892714546493132,-0.04642395327407878
